Deutsch;Portugiesisch
Hast du aufgehört (wörtl. aufgegeben), Ballett zu machen?;Desistiu de fazer balé?
Ich sehe zum Entspannen fern.;Eu vejo televisão para relaxar.
bevorzugen - ich bevorzuge;preferir - eu prefiro
jeden Abend (wörtl. alle die Nächte);todas as noites
hören - ich höre;ouvir - eu ouço
anziehen - ich ziehe an;vestir - eu visto
Es ist die ganze Woche nur (ein) Stress.;É um estresse só a semana toda.
die ganze Woche;a semana toda
schlafen - ich schlafe;dormir - eu durmo
jeden Samstag;todo sábado
oder;ou
da/weil, wie;como
weil;porque
seltsam;estranho
Gestern haben wir (uns) eine Komödie angesehen.;Ontem vimos uma comédia.
und;e
spannend (wörtl. von Spannung);de suspense
langweilig;chato
lustig;engraçado
der Horrorfilm;o filme de terror
die Komödie;a comédia
der Science-Fiction-Film;o filme de ficção científica
Hast du Lust (wörtl. bist du mit Ziel), heute ins Kino zu gehen?;Você está a fim de ir ao cinema hoje?
der Dokumentarfilm;o documentário
Juli;julho
im Monat (wörtl. des) Oktober;no mês de outubro
November;novembro
bis zum 2. November;até 2 de novembro
September;setembro
Oktober;outubro
Dezember;dezembro
Ende (wörtl. am Ende des) November;no final de novembro
August;agosto
Aber bei (wörtl. mit) Regen geht man nicht an den Strand, oder?;Mas com chuva não se vai à praia, né?
Da ist es praktisch schon Sommer.;Aí já é praticamente verão.
am 3. Februar;no dia 3 de fevereiro
Januar;janeiro
Juni;junho
von März bis Juni;de março a junho
im Mai;em maio
Wir verreisten kein Mal.;Nós não viajamos nenhuma vez!
Mai;maio
März;março
April;abril
Februar;fevereiro
unter dem Tisch;embaixo da mesa
Lege die Schlüssel in jenen Schrank, bitte.;Coloca as chaves naquele armário, por favor.
die Kommode;a cômoda
hinter dem Regal;atrás da estante
hell;claro
Jene Wohnung in Ipanema ist sehr gut!;Aquele apartamento em Ipanema é muito bom!
Sehen wir uns nur diese Anzeigen an.;Vamos só olhar esses anúncios.
dunkel;escuro
zentral;central
der Club, der Verein;o clube
der Sportraum (wörtl. Gymnastikraum);a sala de ginástica
Hast du keine Zeit?;Você não tem tempo?
Heute kann ich nicht.;Hoje eu não posso.
Wir gehen langsam.;Nós andamos devagar.
das Fitnessstudio (wörtl. die Akademie);a academia
Kannst du nicht schwimmen?;Você não sabe nadar?
das Capoeira;a capoeira
Ich kann noch nicht gut schwimmen.;Eu ainda não sei nadar bem.
das Krafttraining;a musculação
das Yoga;a ioga
das Schwimmen;a natação
hunderteins;cento e um
zweihundert;duzentos
siebenhundert;setecentos
ein wenig Kakao (wörtl. Schokolade);um pouco de chocolate
Öffnest du die Zuckerpackung, bitte?;Você abre o pacote de açúcar, por favor?
sechshundert;seiscentos
zwei Tassen Kakao (wörtl. Schokolade);duas xícaras de chocolate
das Backpulver;o fermento em pó
eine Prise Salz;uma pitada de sal
dreihundert;trezentos
fünfhundert;quinhentos
achthundert;oitocentos
